,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
250,10,10,2,OLD,20197803,겨울왕국 2,2019-11-21,25100660,0.2,1806340,7.8,114733135850,2932,283,10.7,13737960,56,75,20200127
251,1,1,0,OLD,20180939,남산의 부장들,2020-01-22,7106650480,54.4,693364440,10.8,23256827690,782927,88935,12.8,2604649,1659,9261,20200126
252,2,2,0,OLD,20192101,히트맨,2020-01-22,3437350510,26.3,433498700,14.4,10221186710,381642,54132,16.5,1148237,1122,5240,20200126
253,3,3,0,OLD,20188421,미스터 주: 사라진 VIP,2020-01-22,956390450,7.3,37521810,4.1,3378009240,107915,6254,6.2,393857,692,2433,20200126
254,4,4,0,OLD,20192300,스파이 지니어스 ,2020-01-22,618557910,4.7,181737830,41.6,1967111710,72739,22881,45.9,233583,707,1766,20200126
255,5,5,0,OLD,20183002,해치지않아,2020-01-15,397715800,3.0,6546700,1.7,9522043350,45631,1877,4.3,1128517,591,1139,20200126
256,6,6,0,OLD,20199581,닥터 두리틀,2020-01-08,122690960,0.9,-1613560,-1.3,13194750410,13743,91,0.7,1573163,313,468,20200126
257,7,7,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,92226440,0.7,1068500,1.2,4620347900,9969,266,2.7,513811,276,363,20200126
258,8,8,0,OLD,20198676,타오르는 여인의 초상,2020-01-16,57787440,0.4,19682680,51.7,625773900,6282,2045,48.3,73377,81,162,20200126
259,9,9,2,OLD,20192604,오즈의 마법사: 요술구두와 말하는 책,2020-01-22,32301240,0.2,7348300,29.4,123387520,3885,955,32.6,15489,218,249,20200126
260,10,10,-1,OLD,20192206,백두산,2019-12-19,32730680,0.3,-6141440,-15.8,69747418040,3708,-517,-12.2,8242480,120,146,20200126
261,1,1,0,OLD,20180939,남산의 부장들,2020-01-22,6413286040,55.1,1540460610,31.6,16150177210,693992,158869,29.7,1821722,1617,9054,20200125
262,2,2,0,OLD,20192101,히트맨,2020-01-22,3003851810,25.8,993718560,49.4,6783836200,327510,106217,48,766595,1027,4889,20200125
263,3,3,0,OLD,20188421,미스터 주: 사라진 VIP,2020-01-22,918868640,7.9,208405150,29.3,2421618790,101661,21946,27.5,285942,661,2421,20200125
264,4,4,0,OLD,20192300,스파이 지니어스 ,2020-01-22,436820080,3.8,-4990080,-1.1,1348553800,49858,-2194,-4.2,160844,712,1776,20200125
265,5,5,0,OLD,20183002,해치지않아,2020-01-15,391169100,3.4,26371660,7.2,9124327550,43754,2166,5.2,1082886,576,1212,20200125
266,6,6,0,OLD,20199581,닥터 두리틀,2020-01-08,124304520,1.1,-7877540,-6,13072059450,13652,-1284,-8.6,1559420,313,481,20200125
267,7,7,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,91157940,0.8,5538580,6.5,4528121460,9703,414,4.5,503842,283,369,20200125
268,8,8,0,OLD,20198676,타오르는 여인의 초상,2020-01-16,38104760,0.3,-15360060,-28.7,567986460,4237,-1576,-27.1,67095,80,167,20200125
269,9,9,1,OLD,20192206,백두산,2019-12-19,38872120,0.3,10194720,35.5,69714687360,4225,971,29.8,8238772,119,153,20200125
270,10,10,1,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,19061960,0.2,4647260,32.2,16442011940,2989,563,23.2,1987842,89,104,20200125
271,1,1,0,OLD,20180939,남산의 부장들,2020-01-22,4872825430,54.7,2098045730,75.6,9736891170,535123,200259,59.8,1127730,1563,8784,20200124
272,2,2,0,OLD,20192101,히트맨,2020-01-22,2010133250,22.6,1015172090,102,3779984390,221293,100590,83.3,439085,965,4722,20200124
273,3,3,0,OLD,20188421,미스터 주: 사라진 VIP,2020-01-22,710463490,8.0,308588050,76.8,1502750150,79715,26580,50,184281,652,2579,20200124
274,4,4,1,OLD,20192300,스파이 지니어스 ,2020-01-22,441810160,5.0,229955600,108.5,911733720,52052,24638,89.9,110986,710,1927,20200124
275,5,5,-1,OLD,20183002,해치지않아,2020-01-15,364797440,4.1,133481350,57.7,8733158450,41588,12657,43.7,1039132,603,1357,20200124
276,6,6,0,OLD,20199581,닥터 두리틀,2020-01-08,132182060,1.5,51528680,63.9,12947754930,14936,4856,48.2,1545768,352,542,20200124
277,7,7,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,85619360,1.0,9985580,13.2,4436963520,9289,304,3.4,494139,302,416,20200124
278,8,8,1,OLD,20198676,타오르는 여인의 초상,2020-01-16,53464820,0.6,9601620,21.9,529881700,5813,470,8.8,62858,90,171,20200124
279,9,9,2,OLD,20192604,오즈의 마법사: 요술구두와 말하는 책,2020-01-22,33966740,0.4,22514060,196.6,66133340,4080,2453,150.8,8674,252,288,20200124
280,10,10,0,OLD,20192206,백두산,2019-12-19,28677400,0.3,11114880,63.3,69675815240,3254,1041,47,8234547,123,158,20200124
281,1,1,0,OLD,20180939,남산의 부장들,2020-01-22,2774779700,55.6,725926660,35.4,4864065740,334864,82806,32.9,592607,1380,7588,20200123
282,2,2,0,OLD,20192101,히트맨,2020-01-22,994961160,19.9,358488420,56.3,1769851140,120703,39194,48.1,217792,937,4719,20200123
283,3,3,0,OLD,20188421,미스터 주: 사라진 VIP,2020-01-22,401875440,8.0,57709220,16.8,792286660,53135,8041,17.8,104566,654,2795,20200123
284,4,4,0,OLD,20183002,해치지않아,2020-01-15,231316090,4.6,48613390,26.6,8368361010,28931,5811,25.1,997544,605,1618,20200123
285,5,5,0,OLD,20192300,스파이 지니어스 ,2020-01-22,211854560,4.2,48725560,29.9,469923560,27414,5926,27.6,58934,633,1757,20200123
286,6,6,0,OLD,20199581,닥터 두리틀,2020-01-08,80653380,1.6,13524540,20.1,12815572870,10080,1638,19.4,1530832,367,612,20200123
287,7,7,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,75633780,1.5,27044080,55.7,4351344160,8985,3206,55.5,484850,351,546,20200123
288,8,8,0,NEW,20193385,하이큐!! 땅 VS 하늘,2020-01-23,55729140,1.1,55729140,100,55729140,7116,7116,100,7116,78,140,20200123
289,9,9,-1,OLD,20198676,타오르는 여인의 초상,2020-01-16,43863200,0.9,4537480,11.5,476416880,5343,386,7.8,57045,77,165,20200123
290,10,10,1,OLD,20192206,백두산,2019-12-19,17562520,0.4,2114400,13.7,69647137840,2213,230,11.6,8231293,150,192,20200123
