장르,관객수,min,max,count,genre
액션 드라마,4457687,1048280,13414009,13,액션 드라마
드라마,3279878,844103,14257115,81,드라마
범죄 액션,3065146,1128288,6879841,16,범죄 액션
액션,2742868,989573,7817446,19,액션
코미디 드라마,2645935,970373,12811206,18,코미디 드라마
범죄 드라마,2600992,986923,7072021,16,범죄 드라마
드라마 액션,2598920,857148,5507106,10,드라마 액션
드라마 코미디,2538554,917782,7362467,11,드라마 코미디
코미디,2389978,856090,16264944,59,코미디
사극,2352942,958775,6246849,10,사극
멜로/로맨스 코미디,2196988,848148,6619498,12,멜로/로맨스 코미디
스릴러,2151121,870785,5604104,20,스릴러
