main_genre,관객수,min,max,count,genre
판타지,6365105,1168625,14410754,5,판타지
전쟁,5571933,1140876,11746135,8,전쟁
SF,4755124,856150,13019740,6,SF
사극,4219329,958775,17613682,28,사극
액션,3941687,904802,13414009,53,액션
드라마,2921824,844103,14257115,130,드라마
범죄,2784205,855980,9707158,50,범죄
코미디,2460522,856090,16264944,104,코미디
기타,2323996,1408882,4583645,5,기타
미스터리,2253209,1063421,6879908,16,미스터리
멜로/로맨스,2092611,848148,6654837,36,멜로/로맨스
스릴러,2042448,870785,5604104,32,스릴러
공포(호러),1856235,867386,4515833,17,공포(호러)
